04D4bk      0.87797100.8800000024.32923200.1030990 1.74240200.4359080-0.11251000.0603160 7.8440000 1.086000053192.08446500.4853390 0.0078090-0.0006170 0.00692201333.7821000-18.0602750-0.0191450
04D4bq      0.54832500.5500000023.33690800.0914500 0.64877200.2623560 0.10120800.0391440 8.7060000 0.752500053193.68095100.2974320 0.0045290 0.0006490 0.00187801333.7059330-17.8275950 0.0014100
04D4dm      0.80903200.8110000024.39502300.1016260-0.26583200.3204880 0.00278400.0624880 8.9770000 0.123500053199.65672200.5803780 0.0036850-0.0007760 0.00325301333.8560580-17.2451590-0.0125120
04D4dw      1.02880001.0310000024.58883000.1248000 1.10318100.4238650-0.14151300.061134010.7850000 0.220000053200.71870200.6716210 0.0095130-0.0028140 0.00382401334.1861400-17.8340710-0.0338780
04D4fx      0.62723900.6290000023.51283900.0921950 0.95356200.1940990-0.03394200.0508670 8.3050000 0.655500053242.51272100.2193090 0.0024810 0.0007200 0.00016201334.1588990-18.0663560-0.0005480
04D4gg      0.42245200.4240000022.72634700.0880700 1.23671600.1385790 0.08314700.026963010.0570000 0.345500053246.78296100.1219530 0.0014620 0.0006120 0.00047401334.0385790-17.2944110 0.0010510
04D4hf      0.93390000.9360000024.81588500.1265560 0.84614500.6449160 0.03942900.0840210 8.5280000 1.276500053236.71125001.4407800 0.0190940-0.0034610-0.00311601334.2412510-17.6870250-0.0248360
04D4hu      0.70115800.7030000023.92141400.0945040 0.01489100.2357690-0.10769100.0587480 9.4750000 0.222000053256.87664300.3689250 0.0030490 0.0001950 0.00045101333.9008660-17.8389000-0.0042130
04D4ib      0.69716400.6990000023.58946200.0933240 0.97649800.2183860-0.13766900.052668010.9940000 0.118000053267.43866400.2902400 0.0020450 0.0002950 0.00058901334.1738040-18.1050890-0.0039700
04D4ic      0.68517900.6870000024.11772900.0983000-0.86599600.3900890-0.01120100.0734010 9.3250000 0.155000053256.30450900.6501480 0.0070100 0.0001220 0.00159601333.5910570-17.9434870-0.0032710
04D4id      0.76707500.7690000024.19830800.1011870 0.68071700.4490010-0.17357100.061478010.3240000 0.196000053261.69496500.7083630 0.0075000-0.0007360 0.00181201334.0891650-17.2290270-0.0089160
04D4ih      0.93190100.9340000024.39881200.1110470 0.31834900.3451440-0.21371300.052888010.8550000 0.128500053269.56885500.4242620 0.0079910-0.0015950-0.00114301334.3209370-17.6773820-0.0246320
04D4ii      0.86397800.8660000024.39848200.1039000 1.33803000.4169170-0.00656000.060395010.9310000 0.149000053273.86471400.5239760 0.0075830-0.0008040 0.00494201333.9818000-17.6574780-0.0177460
04D4im      0.74910000.7510000023.83017500.0960750 0.93690700.2373210 0.03293000.060213011.1990000 0.102500053285.34427200.3088010 0.0033280-0.0002300-0.00149801333.7535250-17.3960420-0.0075100
04D4in      0.51435300.5160000022.88076200.0888970 1.53134800.1469710-0.07006400.0290040 9.1010000 0.101500053278.57155800.1434110 0.0015470 0.0005030 0.00045201333.7857250-17.2610280 0.0016760
04D4jr      0.46840600.4700000022.63496900.0874510 1.52812400.1214790-0.06284400.0269930 8.0240000 0.675500053298.42345400.1535460 0.0005630 0.0004140-0.00018501333.5596660-17.3502170 0.0015720
04D4ju      0.47039800.4720000023.75895400.0884460 0.44821300.2237560 0.15347400.0348250 9.2390000 0.177000053293.12204800.2833190 0.0017050 0.0005050-0.00008801334.2613580-17.3328140 0.0015860
